20km walk men,rio 2016,Ruslan Dmytrenko,UKR,16.,1:21:40
20km walk men,rio 2016,Hyunsub Kim,KOR,17.,1:21:44
20km walk men,rio 2016,Hagen Pohle,GER,18.,1:21:44
20km walk men,rio 2016,Jakub Bogdan Jelonek,POL,19.,1:21:52
20km walk men,rio 2016,Alexandros Papamichail,GRE,20.,1:21:55
20km walk men,rio 2016,Isamu Fujisawa,JPN,21.,1:22:03
20km walk men,rio 2016,Alvaro Martin,ESP,22.,1:22:11
20km walk men,rio 2016,Pedro Daniel Gomez,MEX,23.,1:22:22
20km walk men,rio 2016,Richard Vargas,VEN,24.,1:22:23
20km walk men,rio 2016,Yerko Araya,CHI,25.,1:22:23
20km walk men,rio 2016,Marius Ziukas,LTU,26.,1:22:27
20km walk men,rio 2016,Benjamin Thorne,CAN,27.,1:22:28
20km walk men,rio 2016,Mate Helebrandt,HUN,28.,1:22:31
20km walk men,rio 2016,Luis Fernando Lopez,COL,29.,1:22:32
20km walk men,rio 2016,Ersin Tacir,TUR,30.,1:22:53
20km walk men,rio 2016,Joao Vieira,POR,31.,1:23:03
20km walk men,rio 2016,Anton Kucmin 1,SVK,32.,1:23:17
20km walk men,rio 2016,Rhydian Cowley,AUS,33.,1:23:30
20km walk men,rio 2016,Georgiy Sheiko,KAZ,34.,1:23:31
20km walk men,rio 2016,Igor Glavan,UKR,35.,1:23:32
20km walk men,rio 2016,Hassanine Sebei 1,TUN,36.,1:23:44
20km walk men,rio 2016,Brian Pintado,ECU,37.,1:23:44
20km walk men,rio 2016,Nils Brembach,GER,38.,1:23:46
20km walk men,rio 2016,Ding Chen,CHN,39.,1:23:54
20km walk men,rio 2016,Nazar Kovalenko,UKR,40.,1:24:40
20km walk men,rio 2016,Paolo Yurivilca,PER,41.,1:24:48
20km walk men,rio 2016,Eiki Takahashi,JPN,42.,1:24:59
20km walk men,rio 2016,Aliaksandr Liakhovich,BLR,43.,1:25:04
20km walk men,rio 2016,Lebogang Shange,RSA,44.,1:25:07
20km walk men,rio 2016,Marco Antonio Rodriguez,BOL,45.,1:25:11
20km walk men,rio 2016,Alex Wright,IRL,46.,1:25:25
20km walk men,rio 2016,Artur Brzozowski,POL,47.,1:25:29
20km walk men,rio 2016,Erik Tysse,NOR,48.,1:26:06
20km walk men,rio 2016,Kevin Campion,FRA,49.,1:26:22
20km walk men,rio 2016,Erick Barrondo,GUA,50.,1:27:01
20km walk men,rio 2016,Juan Manuel Cano,ARG,51.,1:27:27
20km walk men,rio 2016,Julio Cesar Salazar,MEX,52.,1:27:38
20km walk men,rio 2016,Sergio Vieira,POR,53.,1:27:39
20km walk men,rio 2016,Hamidreza Zooravand,IRI,54.,1:27:45
20km walk men,rio 2016,Francisco Arcilla,ESP,55.,1:27:50
20km walk men,rio 2016,Jose Maria Raymundo,GUA,56.,1:29:07
20km walk men,rio 2016,Byeongkwang Choe,KOR,57.,1:29:08
20km walk men,rio 2016,Wayne Snyman,RSA,58.,1:29:20
20km walk men,rio 2016,Marius Savelskis,LTU,59.,1:29:26
20km walk men,rio 2016,Thanh Ngung Nguyen,VIE,60.,1:30:01
20km walk men,rio 2016,Youngjun Byun,KOR,61.,1:30:38
20km walk men,rio 2016,Mert Atli,TUR,62.,1:31:36
20km walk men,rio 2016,Moacir Zimmermann,BRA,63.,1:33:58
3000m steeplechase men,rio 2016,Conseslus Kipruto,KEN,1.,8:03.28
3000m steeplechase men,rio 2016,Evan Jager,USA,2.,8:04.28
3000m steeplechase men,rio 2016,Mahiedine Mekhissi,FRA,3.,8:11.52
3000m steeplechase men,rio 2016,Soufiane Elbakkali,MAR,4.,8:14.35
3000m steeplechase men,rio 2016,Yoann Kowal,FRA,5.,8:16.75
3000m steeplechase men,rio 2016,Brimin Kiprop Kipruto,KEN,6.,8:18.79
